RIVM_M096676_1,VNTR63_01_Ff,100.000,24,0,0,518632,518655,24,1,2.79e-06,45.4
RIVM_M096676_1,VNTR63_01_Ff,100.000,14,0,0,1494246,1494259,7,20,1.0,27.0
RIVM_M096676_1,VNTR63_01_Ff,89.474,19,2,0,376740,376758,19,1,3.6,25.1
RIVM_M096676_1,VNTR63_01_Ff,90.000,20,1,1,1034951,1034969,22,3,3.6,25.1
RIVM_M096676_1,VNTR67_01_r,100.000,24,0,0,2142700,2142723,24,1,2.79e-06,45.4
RIVM_M096676_1,VNTR67_01_r,100.000,14,0,0,2224107,2224120,8,21,1.0,27.0
RIVM_M096676_1,VNTR67_01_r,93.750,16,1,0,1843124,1843139,16,1,3.6,25.1
RIVM_M096676_1,VNTR67_01_r,100.000,13,0,0,2394569,2394581,18,6,3.6,25.1
RIVM_M096676_1,VNTR67_01_r,100.000,13,0,0,1920674,1920686,18,6,3.6,25.1
RIVM_M096676_1,VNTR67_01_r,100.000,13,0,0,2107753,2107765,7,19,3.6,25.1
RIVM_M096676_1,VNTR67_01_r,100.000,13,0,0,1455150,1455162,9,21,3.6,25.1
RIVM_M096676_1,VNTR67_01_r,100.000,13,0,0,408046,408058,21,9,3.6,25.1
RIVM_M096676_1,VNTR67_01_Pf,100.000,24,0,0,2142511,2142534,1,24,2.79e-06,45.4
RIVM_M096676_1,VNTR67_01_Pf,100.000,14,0,0,1072745,1072758,11,24,1.0,27.0
RIVM_M096676_1,VNTR67_01_Pf,93.750,16,1,0,2608772,2608787,18,3,3.6,25.1
RIVM_M096676_1,VNTR67_01_Pf,100.000,13,0,0,658205,658217,5,17,3.6,25.1
RIVM_M096676_1,VNTR67_01_Pf,100.000,13,0,0,2081167,2081179,18,6,3.6,25.1
RIVM_M096676_1,VNTR61_02_Vf,100.000,24,0,0,2123484,2123507,1,24,2.79e-06,45.4
RIVM_M096676_1,VNTR61_02_Vf,94.444,18,1,0,2130088,2130105,20,3,0.28,28.8
RIVM_M096676_1,VNTR61_02_Vf,89.474,19,2,0,2551530,2551548,6,24,3.6,25.1
RIVM_M096676_1,VNTR61_02_Vf,100.000,13,0,0,960736,960748,21,9,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,100.000,24,0,0,1107762,1107785,24,1,2.79e-06,45.4
RIVM_M096676_1,VNTR61_01_r,94.737,19,0,1,2629092,2629109,4,22,0.28,28.8
RIVM_M096676_1,VNTR61_01_r,94.118,17,1,0,602139,602155,17,1,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,100.000,14,0,0,2606463,2606476,3,16,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,90.476,21,1,1,2478348,2478367,24,4,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,94.444,18,0,1,1374303,1374319,21,4,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,100.000,14,0,0,1605260,1605273,7,20,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,94.444,18,0,1,979693,979710,8,24,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,100.000,14,0,0,1548831,1548844,8,21,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,100.000,14,0,0,1194760,1194773,9,22,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,100.000,14,0,0,1464691,1464704,10,23,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,100.000,14,0,0,357804,357817,23,10,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,100.000,14,0,0,1731129,1731142,11,24,1.0,27.0
RIVM_M096676_1,VNTR61_01_r,93.750,16,1,0,2243340,2243355,3,18,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,89.474,19,2,0,1088668,1088686,4,22,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,100.000,13,0,0,1422020,1422032,16,4,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,89.474,19,2,0,1018662,1018680,23,5,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,93.750,16,1,0,1897882,1897897,20,5,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,100.000,13,0,0,140352,140364,6,18,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,100.000,13,0,0,1698610,1698622,6,18,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,100.000,13,0,0,2450940,2450952,6,18,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,93.750,16,1,0,934606,934621,22,7,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,100.000,13,0,0,2259722,2259734,7,19,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,93.750,16,1,0,2673188,2673203,23,8,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,94.118,17,0,1,1609418,1609434,8,23,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,93.750,16,1,0,1679032,1679047,24,9,3.6,25.1
RIVM_M096676_1,VNTR61_01_r,93.750,16,1,0,1236151,1236166,9,24,3.6,25.1
